date,region,country,product,sales_rep,channel,segment,units_sold,unit_price_usd,discount_rate,revenue_usd,fleet_uptime,battery_health,co2_saved_tons
2024-08-14,West Africa,Côte d'Ivoire,Depot Charger 60kW,Lerato Moyo,Tender,Private Fleet,1,25000,0.079,23025.0,0.995,0.985,2.5
2024-08-14,West Africa,Senegal,Depot Charger 60kW,Peter Otieno,Partner,Shuttle Services,1,25000,0.02,24500.0,0.91,0.99,2.4
2024-08-15,Southern Africa,Zimbabwe,E-Bus 35,John Mwangi,Tender,Private Fleet,1,210000,0.046,200340.0,0.916,0.89,2.35
2024-08-15,East Africa,Kenya,E-Bus 45,John Mwangi,Tender,Shuttle Services,1,280000,0.046,267120.0,0.914,0.89,3.43
2024-08-15,East Africa,Uganda,Battery Pack Gen2,Yao Kouamé,Direct,Private Fleet,2,45000,0.021,88110.0,0.941,0.906,7.29
2024-08-16,Southern Africa,South Africa,E-Bus 45,Peter Otieno,Partner,Private Fleet,1,280000,0.046,267120.0,0.969,0.936,3.47
2024-08-17,North Africa,Morocco,Depot Charger 60kW,Peter Otieno,Direct,Shuttle Services,1,25000,0.033,24175.0,0.917,0.9,1.91
2024-08-17,Southern Africa,Zambia,Onboard Charger 30kW,Yao Kouamé,Partner,Private Fleet,1,12000,0.023,11724.0,0.91,0.976,1.62
2024-08-17,North Africa,Tunisia,E-Bus 35,John Mwangi,Direct,Public Transport,1,210000,0.052,199080.0,0.933,0.877,2.88
2024-08-17,Southern Africa,South Africa,E-Bus 45,Awa Diallo,Tender,Shuttle Services,1,280000,0.0,280000.0,0.912,0.876,2.14
2024-08-17,Southern Africa,South Africa,E-Bus 25,Awa Diallo,Direct,Private Fleet,1,155000,0.076,143220.0,0.957,0.833,3.47
2024-08-17,East Africa,Uganda,Battery Pack Gen2,Yao Kouamé,Partner,Public Transport,1,45000,0.055,42525.0,0.927,0.922,1.64
2024-08-17,North Africa,Egypt,Battery Pack Gen2,Fatou Ndiaye,Partner,Private Fleet,1,45000,0.092,40860.0,0.958,0.898,1.99
2024-08-17,West Africa,Senegal,E-Bus 45,John Mwangi,Direct,Private Fleet,3,280000,0.091,763560.0,0.895,0.867,8.99
2024-08-18,North Africa,Tunisia,Battery Pack Gen2,Yao Kouamé,Partner,Public Transport,1,45000,0.0,45000.0,0.897,0.977,2.07
2024-08-19,West Africa,Senegal,Battery Pack Gen2,Fatou Ndiaye,Direct,Private Fleet,1,45000,0.014,44370.0,0.911,0.867,2.71
2024-08-19,West Africa,Senegal,Onboard Charger 30kW,Awa Diallo,Direct,Private Fleet,2,12000,0.047,22872.0,0.995,0.911,5.55
2024-08-19,East Africa,Tanzania,Battery Pack Gen2,Lerato Moyo,Direct,Shuttle Services,2,45000,0.006,89460.0,0.927,0.867,3.26
2024-08-19,East Africa,Kenya,Onboard Charger 30kW,Awa Diallo,Direct,Public Transport,3,12000,0.074,33336.0,0.922,0.895,6.69
2024-08-19,Southern Africa,Zimbabwe,Depot Charger 60kW,Lerato Moyo,Direct,Shuttle Services,1,25000,0.06,23500.0,0.898,0.902,2.51
2024-08-20,North Africa,Egypt,E-Bus 25,Fatou Ndiaye,Direct,Public Transport,1,155000,0.053,146785.0,0.981,0.895,2.26
2024-08-20,East Africa,Kenya,Depot Charger 60kW,Peter Otieno,Direct,Public Transport,2,25000,0.064,46800.0,0.917,0.933,3.47
2024-08-20,East Africa,Tanzania,Depot Charger 60kW,Yao Kouamé,Direct,Public Transport,1,25000,0.044,23900.0,0.992,0.892,3.76
2024-08-20,East Africa,Tanzania,E-Bus 45,Peter Otieno,Direct,Private Fleet,1,280000,0.036,269920.0,0.963,0.904,2.38
2024-08-21,East Africa,Tanzania,E-Bus 45,Yao Kouamé,Direct,Private Fleet,1,280000,0.017,275240.0,0.916,0.889,1.71
2024-08-21,West Africa,Côte d'Ivoire,E-Bus 45,John Mwangi,Tender,Public Transport,1,280000,0.065,261800.0,0.959,0.87,2.83
2024-08-21,East Africa,Uganda,E-Bus 35,Peter Otieno,Direct,Public Transport,1,210000,0.005,208950.0,0.986,0.952,1.55
2024-08-21,North Africa,Morocco,Battery Pack Gen2,Fatou Ndiaye,Direct,Private Fleet,1,45000,0.064,42120.0,0.979,0.897,3.96
2024-08-22,North Africa,Egypt,Depot Charger 60kW,Peter Otieno,Tender,Shuttle Services,5,25000,0.05,118750.0,0.958,0.858,13.82
2024-08-22,East Africa,Tanzania,Battery Pack Gen2,Awa Diallo,Partner,Private Fleet,2,45000,0.045,85950.0,0.907,0.899,5.34
2024-08-22,East Africa,Tanzania,E-Bus 45,Awa Diallo,Direct,Private Fleet,1,280000,0.076,258720.0,0.93,0.919,2.21
2024-08-23,West Africa,Ghana,Battery Pack Gen2,Awa Diallo,Direct,Public Transport,3,45000,0.069,125685.0,0.922,0.928,4.57
2024-08-23,North Africa,Tunisia,E-Bus 45,John Mwangi,Partner,Public Transport,1,280000,0.081,257320.0,0.894,0.958,1.71
2024-08-23,North Africa,Morocco,Battery Pack Gen2,Peter Otieno,Direct,Public Transport,1,45000,0.077,41535.0,0.925,0.869,3.92
2024-08-23,North Africa,Morocco,Battery Pack Gen2,John Mwangi,Direct,Public Transport,1,45000,0.076,41580.0,0.951,0.99,3.92
2024-08-24,Southern Africa,Zimbabwe,E-Bus 25,Yao Kouamé,Tender,Shuttle Services,1,155000,0.07,144150.0,0.993,0.962,2.53
2024-08-24,West Africa,Senegal,E-Bus 25,Awa Diallo,Direct,Public Transport,2,155000,0.053,293570.0,0.943,0.954,5.64
2024-08-25,Southern Africa,South Africa,E-Bus 35,Awa Diallo,Direct,Shuttle Services,1,210000,0.028,204120.0,0.966,0.926,3.38
2024-08-26,Southern Africa,South Africa,Battery Pack Gen2,Lerato Moyo,Partner,Public Transport,1,45000,0.059,42345.0,0.97,0.884,1.68
2024-08-26,West Africa,Senegal,Onboard Charger 30kW,Awa Diallo,Partner,Private Fleet,1,12000,0.026,11688.0,0.968,0.964,2.39
2024-08-26,North Africa,Egypt,Battery Pack Gen2,Lerato Moyo,Partner,Public Transport,1,45000,0.034,43470.0,0.925,0.863,3.45
2024-08-26,East Africa,Tanzania,E-Bus 45,Fatou Ndiaye,Partner,Public Transport,1,280000,0.085,256200.0,0.995,0.971,1.94
2024-08-27,West Africa,Ghana,Depot Charger 60kW,Lerato Moyo,Tender,Public Transport,1,25000,0.0,25000.0,0.986,0.905,2.55
2024-08-27,Southern Africa,Zambia,E-Bus 35,Yao Kouamé,Partner,Public Transport,1,210000,0.101,188790.0,0.956,0.904,3.74
2024-08-27,North Africa,Morocco,Battery Pack Gen2,Peter Otieno,Partner,Public Transport,1,45000,0.028,43740.0,0.958,0.907,2.42
2024-08-27,East Africa,Uganda,Onboard Charger 30kW,Lerato Moyo,Partner,Public Transport,2,12000,0.0,24000.0,0.948,0.925,7.31
2024-08-27,West Africa,Senegal,Onboard Charger 30kW,Yao Kouamé,Direct,Shuttle Services,3,12000,0.04,34560.0,0.9,0.985,6.41
2024-08-27,North Africa,Tunisia,Battery Pack Gen2,Yao Kouamé,Direct,Public Transport,1,45000,0.037,43335.0,0.904,0.832,2.3
2024-08-28,North Africa,Egypt,Battery Pack Gen2,Lerato Moyo,Direct,Private Fleet,5,45000,0.043,215325.0,0.928,0.926,8.81
2024-08-28,North Africa,Morocco,Depot Charger 60kW,Awa Diallo,Partner,Private Fleet,1,25000,0.038,24050.0,0.946,0.919,1.9
2024-08-29,North Africa,Morocco,E-Bus 45,Peter Otieno,Direct,Private Fleet,1,280000,0.021,274120.0,0.966,0.88,2.7
2024-08-29,East Africa,Tanzania,E-Bus 25,John Mwangi,Partner,Public Transport,1,155000,0.053,146785.0,0.93,0.945,2.11
2024-08-29,East Africa,Tanzania,E-Bus 45,Yao Kouamé,Direct,Shuttle Services,1,280000,0.048,266560.0,0.905,0.949,1.74
2024-08-29,Southern Africa,South Africa,E-Bus 35,Fatou Ndiaye,Partner,Public Transport,1,210000,0.064,196560.0,0.995,0.914,3.23
2024-08-30,Southern Africa,Zimbabwe,Depot Charger 60kW,Lerato Moyo,Direct,Private Fleet,1,25000,0.068,23300.0,0.955,0.894,3.96
2024-08-30,East Africa,Tanzania,E-Bus 35,John Mwangi,Direct,Public Transport,1,210000,0.013,207270.0,0.927,0.892,3.64
2024-08-30,Southern Africa,South Africa,E-Bus 25,Fatou Ndiaye,Partner,Private Fleet,1,155000,0.064,145080.0,0.912,0.93,1.7
2024-08-30,Southern Africa,Zambia,E-Bus 45,Fatou Ndiaye,Partner,Private Fleet,1,280000,0.067,261240.0,0.954,0.99,2.21
2024-08-31,Southern Africa,Zimbabwe,E-Bus 25,Lerato Moyo,Partner,Private Fleet,1,155000,0.087,141515.0,0.932,0.929,1.55
2024-08-31,Southern Africa,South Africa,E-Bus 35,Awa Diallo,Partner,Private Fleet,1,210000,0.013,207270.0,0.922,0.934,2.56
2024-09-01,East Africa,Kenya,E-Bus 25,John Mwangi,Partner,Public Transport,1,155000,0.014,152830.0,0.912,0.936,2.89
2024-09-01,Southern Africa,South Africa,Onboard Charger 30kW,John Mwangi,Partner,Private Fleet,1,12000,0.009,11892.0,0.935,0.914,2.07
2024-09-01,East Africa,Kenya,Battery Pack Gen2,John Mwangi,Direct,Public Transport,1,45000,0.057,42435.0,0.978,0.881,2.89
2024-09-01,Southern Africa,South Africa,Battery Pack Gen2,Yao Kouamé,Tender,Private Fleet,1,45000,0.023,43965.0,0.94,0.917,3.99
2024-09-01,West Africa,Côte d'Ivoire,Depot Charger 60kW,Fatou Ndiaye,Direct,Public Transport,1,25000,0.056,23600.0,0.954,0.96,3.04
2024-09-02,North Africa,Tunisia,Depot Charger 60kW,Lerato Moyo,Partner,Shuttle Services,1,25000,0.043,23925.0,0.941,0.904,3.29
2024-09-02,East Africa,Kenya,Battery Pack Gen2,Yao Kouamé,Tender,Shuttle Services,3,45000,0.056,127440.0,0.953,0.952,5.78
2024-09-03,East Africa,Kenya,Depot Charger 60kW,Peter Otieno,Partner,Shuttle Services,1,25000,0.031,24225.0,0.961,0.875,3.71
2024-09-03,East Africa,Kenya,E-Bus 35,Yao Kouamé,Direct,Shuttle Services,2,210000,0.075,388500.0,0.877,0.914,5.75
2024-09-03,East Africa,Tanzania,Onboard Charger 30kW,Peter Otieno,Direct,Private Fleet,1,12000,0.025,11700.0,0.98,0.974,2.87
2024-09-04,Southern Africa,South Africa,E-Bus 35,Fatou Ndiaye,Direct,Private Fleet,1,210000,0.104,188160.0,0.955,0.902,3.58
2024-09-04,East Africa,Kenya,Battery Pack Gen2,Fatou Ndiaye,Partner,Shuttle Services,1,45000,0.071,41805.0,0.924,0.93,2.52
2024-09-05,East Africa,Tanzania,Depot Charger 60kW,Lerato Moyo,Partner,Public Transport,1,25000,0.054,23650.0,0.969,0.92,3.8
2024-09-05,North Africa,Morocco,Battery Pack Gen2,Lerato Moyo,Direct,Shuttle Services,1,45000,0.019,44145.0,0.972,0.864,3.83
2024-09-05,Southern Africa,Zimbabwe,Onboard Charger 30kW,Fatou Ndiaye,Direct,Public Transport,1,12000,0.037,11556.0,0.995,0.936,2.54
2024-09-05,West Africa,Senegal,Depot Charger 60kW,Awa Diallo,Direct,Shuttle Services,1,25000,0.053,23675.0,0.944,0.868,3.34
2024-09-06,Southern Africa,Zambia,Battery Pack Gen2,Lerato Moyo,Tender,Private Fleet,1,45000,0.032,43560.0,0.923,0.919,3.1
2024-09-06,North Africa,Morocco,Battery Pack Gen2,Fatou Ndiaye,Direct,Shuttle Services,1,45000,0.064,42120.0,0.914,0.99,3.72
2024-09-06,East Africa,Tanzania,Battery Pack Gen2,Fatou Ndiaye,Direct,Private Fleet,1,45000,0.056,42480.0,0.937,0.908,3.06
2024-09-07,East Africa,Kenya,E-Bus 35,John Mwangi,Direct,Public Transport,2,210000,0.024,409920.0,0.95,0.99,6.9
2024-09-08,Southern Africa,South Africa,Onboard Charger 30kW,Awa Diallo,Partner,Private Fleet,1,12000,0.045,11460.0,0.995,0.906,1.6
2024-09-09,West Africa,Côte d'Ivoire,Battery Pack Gen2,Yao Kouamé,Partner,Private Fleet,2,45000,0.103,80730.0,0.995,0.982,7.82
2024-09-09,East Africa,Kenya,E-Bus 25,Fatou Ndiaye,Direct,Private Fleet,1,155000,0.064,145080.0,0.94,0.989,2.18
2024-09-09,Southern Africa,South Africa,Depot Charger 60kW,Awa Diallo,Partner,Private Fleet,1,25000,0.056,23600.0,0.969,0.916,3.61
2024-09-09,North Africa,Morocco,E-Bus 35,Awa Diallo,Direct,Public Transport,1,210000,0.018,206220.0,0.969,0.946,2.35
2024-09-09,West Africa,Côte d'Ivoire,Depot Charger 60kW,Awa Diallo,Direct,Public Transport,1,25000,0.027,24325.0,0.937,0.915,3.96
2024-09-10,West Africa,Senegal,Battery Pack Gen2,Lerato Moyo,Direct,Public Transport,3,45000,0.073,125145.0,0.989,0.99,5.56
2024-09-10,North Africa,Morocco,Onboard Charger 30kW,Lerato Moyo,Partner,Private Fleet,1,12000,0.015,11820.0,0.948,0.887,3.51
2024-09-11,East Africa,Tanzania,Battery Pack Gen2,Peter Otieno,Direct,Private Fleet,1,45000,0.062,42210.0,0.894,0.902,3.37
2024-09-11,West Africa,Senegal,Battery Pack Gen2,Lerato Moyo,Partner,Public Transport,1,45000,0.071,41805.0,0.944,0.979,3.6
2024-09-11,East Africa,Uganda,E-Bus 35,Lerato Moyo,Partner,Public Transport,1,210000,0.054,198660.0,0.973,0.897,3.74
2024-09-12,East Africa,Uganda,Battery Pack Gen2,Lerato Moyo,Direct,Shuttle Services,1,45000,0.021,44055.0,0.988,0.946,2.01
2024-09-12,North Africa,Egypt,Battery Pack Gen2,Awa Diallo,Direct,Public Transport,1,45000,0.055,42525.0,0.918,0.906,1.77
2024-09-13,East Africa,Uganda,E-Bus 25,Peter Otieno,Direct,Private Fleet,1,155000,0.104,138880.0,0.977,0.897,3.08
2024-09-13,West Africa,Senegal,Depot Charger 60kW,John Mwangi,Partner,Shuttle Services,3,25000,0.056,70800.0,0.932,0.868,7.44
2024-09-13,North Africa,Egypt,Onboard Charger 30kW,Lerato Moyo,Tender,Public Transport,1,12000,0.098,10824.0,0.966,0.959,2.92
2024-09-14,Southern Africa,South Africa,Depot Charger 60kW,Fatou Ndiaye,Tender,Public Transport,3,25000,0.041,71925.0,0.95,0.886,6.38
2024-09-14,North Africa,Tunisia,Depot Charger 60kW,John Mwangi,Partner,Public Transport,1,25000,0.043,23925.0,0.969,0.845,2.44
2024-09-15,North Africa,Tunisia,Onboard Charger 30kW,Fatou Ndiaye,Partner,Shuttle Services,1,12000,0.093,10884.0,0.896,0.906,2.47
2024-09-15,West Africa,Côte d'Ivoire,Onboard Charger 30kW,John Mwangi,Partner,Shuttle Services,1,12000,0.035,11580.0,0.957,0.856,2.5
2024-09-15,North Africa,Morocco,Depot Charger 60kW,Fatou Ndiaye,Direct,Private Fleet,2,25000,0.022,48900.0,0.937,0.99,4.29
2024-09-15,North Africa,Tunisia,Depot Charger 60kW,Fatou Ndiaye,Partner,Private Fleet,1,25000,0.047,23825.0,0.934,0.956,1.72
2024-09-16,East Africa,Tanzania,Depot Charger 60kW,Peter Otieno,Tender,Public Transport,1,25000,0.032,24200.0,0.971,0.863,1.76
2024-09-16,East Africa,Uganda,E-Bus 25,Peter Otieno,Tender,Private Fleet,1,155000,0.013,152985.0,0.915,0.921,2.96
2024-09-16,West Africa,Ghana,E-Bus 45,John Mwangi,Partner,Public Transport,1,280000,0.018,274960.0,0.903,0.972,1.93
2024-09-16,West Africa,Ghana,Onboard Charger 30kW,Lerato Moyo,Tender,Private Fleet,1,12000,0.042,11496.0,0.948,0.889,2.67
2024-09-16,East Africa,Kenya,E-Bus 25,Lerato Moyo,Direct,Public Transport,2,155000,0.038,298220.0,0.904,0.922,7.61
2024-09-16,East Africa,Kenya,Onboard Charger 30kW,Lerato Moyo,Direct,Public Transport,1,12000,0.04,11520.0,0.896,0.947,2.63
2024-09-16,West Africa,Senegal,E-Bus 25,Lerato Moyo,Direct,Public Transport,1,155000,0.07,144150.0,0.93,0.897,2.02
2024-09-16,North Africa,Tunisia,Battery Pack Gen2,Peter Otieno,Partner,Public Transport,1,45000,0.031,43605.0,0.936,0.904,3.18
2024-09-17,West Africa,Côte d'Ivoire,Onboard Charger 30kW,John Mwangi,Direct,Shuttle Services,2,12000,0.055,22680.0,0.897,0.901,5.03
2024-09-17,East Africa,Kenya,Onboard Charger 30kW,Lerato Moyo,Direct,Private Fleet,1,12000,0.06,11280.0,0.948,0.937,2.17
2024-09-17,West Africa,Côte d'Ivoire,Depot Charger 60kW,Awa Diallo,Direct,Shuttle Services,2,25000,0.066,46700.0,0.948,0.902,7.03
2024-09-17,Southern Africa,Zimbabwe,E-Bus 45,Peter Otieno,Direct,Public Transport,1,280000,0.051,265720.0,0.942,0.903,2.34
2024-09-17,North Africa,Morocco,E-Bus 45,Peter Otieno,Tender,Public Transport,1,280000,0.088,255360.0,0.959,0.914,1.88
2024-09-19,Southern Africa,Zambia,Onboard Charger 30kW,John Mwangi,Partner,Shuttle Services,1,12000,0.092,10896.0,0.994,0.91,2.28
2024-09-19,East Africa,Kenya,Onboard Charger 30kW,Awa Diallo,Partner,Private Fleet,3,12000,0.0,36000.0,0.995,0.865,11.82
2024-09-19,Southern Africa,South Africa,Battery Pack Gen2,John Mwangi,Direct,Public Transport,1,45000,0.035,43425.0,0.936,0.938,2.0
2024-09-20,Southern Africa,Zambia,Onboard Charger 30kW,Peter Otieno,Tender,Private Fleet,2,12000,0.088,21888.0,0.918,0.908,4.31
2024-09-20,East Africa,Kenya,E-Bus 25,John Mwangi,Partner,Private Fleet,3,155000,0.094,421290.0,0.909,0.914,11.73
2024-09-20,West Africa,Ghana,E-Bus 35,John Mwangi,Direct,Public Transport,1,210000,0.031,203490.0,0.994,0.938,1.79
2024-09-20,Southern Africa,Zimbabwe,E-Bus 35,Awa Diallo,Direct,Private Fleet,1,210000,0.05,199500.0,0.995,0.949,2.7
2024-09-20,East Africa,Uganda,Onboard Charger 30kW,Awa Diallo,Direct,Public Transport,1,12000,0.104,10752.0,0.921,0.99,1.99
2024-09-20,North Africa,Egypt,E-Bus 35,Fatou Ndiaye,Direct,Private Fleet,1,210000,0.074,194460.0,0.913,0.889,2.1
2024-09-20,East Africa,Kenya,Depot Charger 60kW,John Mwangi,Direct,Public Transport,1,25000,0.036,24100.0,0.931,0.903,2.38
2024-09-21,East Africa,Tanzania,E-Bus 25,John Mwangi,Partner,Public Transport,1,155000,0.045,148025.0,0.93,0.907,3.4
2024-09-21,East Africa,Kenya,Depot Charger 60kW,Awa Diallo,Direct,Public Transport,1,25000,0.04,24000.0,0.925,0.893,2.35
2024-09-21,West Africa,Ghana,Depot Charger 60kW,Fatou Ndiaye,Direct,Private Fleet,1,25000,0.043,23925.0,0.898,0.936,1.74
2024-09-21,North Africa,Morocco,Onboard Charger 30kW,Yao Kouamé,Direct,Public Transport,1,12000,0.09,10920.0,0.976,0.869,3.33
2024-09-21,West Africa,Côte d'Ivoire,Onboard Charger 30kW,Fatou Ndiaye,Direct,Private Fleet,3,12000,0.012,35568.0,0.994,0.903,11.86
2024-09-22,West Africa,Ghana,Onboard Charger 30kW,John Mwangi,Partner,Public Transport,1,12000,0.068,11184.0,0.909,0.972,1.77
2024-09-22,Southern Africa,South Africa,Depot Charger 60kW,Awa Diallo,Partner,Public Transport,1,25000,0.059,23525.0,0.909,0.899,1.56
2024-09-22,Southern Africa,Zimbabwe,Onboard Charger 30kW,Fatou Ndiaye,Tender,Public Transport,1,12000,0.031,11628.0,0.941,0.888,3.92
2024-09-23,East Africa,Tanzania,Depot Charger 60kW,Lerato Moyo,Direct,Shuttle Services,2,25000,0.076,46200.0,0.91,0.899,4.69
2024-09-23,Southern Africa,Zimbabwe,Depot Charger 60kW,John Mwangi,Tender,Private Fleet,2,25000,0.035,48250.0,0.919,0.912,3.86
2024-09-24,East Africa,Tanzania,E-Bus 35,Awa Diallo,Direct,Public Transport,2,210000,0.047,400260.0,0.973,0.947,7.02
2024-09-25,Southern Africa,Zimbabwe,E-Bus 25,Awa Diallo,Partner,Shuttle Services,1,155000,0.092,140740.0,0.995,0.901,3.58
2024-09-25,Southern Africa,South Africa,E-Bus 45,Awa Diallo,Direct,Public Transport,1,280000,0.03,271600.0,0.941,0.935,1.83
2024-09-25,North Africa,Egypt,Depot Charger 60kW,Peter Otieno,Partner,Public Transport,2,25000,0.038,48100.0,0.914,0.931,3.78
2024-09-25,North Africa,Tunisia,E-Bus 45,John Mwangi,Partner,Public Transport,1,280000,0.062,262640.0,0.896,0.941,1.93
2024-09-25,Southern Africa,Zimbabwe,Battery Pack Gen2,Lerato Moyo,Partner,Private Fleet,1,45000,0.0,45000.0,0.932,0.846,3.89
2024-09-25,East Africa,Tanzania,Battery Pack Gen2,Fatou Ndiaye,Partner,Private Fleet,1,45000,0.013,44415.0,0.995,0.951,2.96
2024-09-25,West Africa,Côte d'Ivoire,E-Bus 45,Peter Otieno,Tender,Public Transport,1,280000,0.05,266000.0,0.94,0.916,2.36
2024-09-25,North Africa,Tunisia,Onboard Charger 30kW,Fatou Ndiaye,Direct,Public Transport,2,12000,0.095,21720.0,0.952,0.929,4.27
2024-09-26,Southern Africa,Zambia,E-Bus 35,Fatou Ndiaye,Partner,Public Transport,2,210000,0.016,413280.0,0.859,0.916,3.96
2024-09-27,Southern Africa,South Africa,E-Bus 25,Peter Otieno,Direct,Public Transport,1,155000,0.083,142135.0,0.946,0.93,3.18
2024-09-27,North Africa,Morocco,Onboard Charger 30kW,Yao Kouamé,Tender,Public Transport,1,12000,0.04,11520.0,0.954,0.915,2.32
2024-09-27,Southern Africa,South Africa,Battery Pack Gen2,Awa Diallo,Partner,Private Fleet,3,45000,0.041,129465.0,0.921,0.937,5.22
2024-09-28,North Africa,Morocco,Battery Pack Gen2,Fatou Ndiaye,Partner,Public Transport,1,45000,0.053,42615.0,0.951,0.925,1.51
2024-09-29,East Africa,Kenya,E-Bus 35,Peter Otieno,Direct,Private Fleet,2,210000,0.021,411180.0,0.903,0.877,3.11
2024-09-29,Southern Africa,Zimbabwe,E-Bus 35,Lerato Moyo,Tender,Private Fleet,1,210000,0.043,200970.0,0.93,0.93,2.4
2024-09-29,North Africa,Morocco,Battery Pack Gen2,Fatou Ndiaye,Partner,Private Fleet,1,45000,0.016,44280.0,0.915,0.968,2.63
2024-09-29,West Africa,Ghana,E-Bus 25,Lerato Moyo,Direct,Private Fleet,1,155000,0.046,147870.0,0.869,0.946,3.05
2024-09-29,East Africa,Uganda,E-Bus 25,Fatou Ndiaye,Partner,Private Fleet,1,155000,0.025,151125.0,0.928,0.917,3.7
2024-09-30,North Africa,Morocco,E-Bus 25,Yao Kouamé,Direct,Private Fleet,1,155000,0.08,142600.0,0.99,0.885,1.67
2024-09-30,Southern Africa,Zimbabwe,E-Bus 35,Awa Diallo,Direct,Shuttle Services,1,210000,0.049,199710.0,0.971,0.953,3.75
2024-09-30,Southern Africa,Zimbabwe,E-Bus 35,Awa Diallo,Direct,Public Transport,1,210000,0.052,199080.0,0.911,0.941,2.36
2024-09-30,North Africa,Egypt,E-Bus 25,Fatou Ndiaye,Tender,Public Transport,1,155000,0.082,142290.0,0.937,0.923,3.18
2024-09-30,Southern Africa,Zimbabwe,Onboard Charger 30kW,Yao Kouamé,Partner,Private Fleet,1,12000,0.098,10824.0,0.949,0.834,3.14
2024-09-30,West Africa,Senegal,Onboard Charger 30kW,Lerato Moyo,Direct,Private Fleet,1,12000,0.017,11796.0,0.965,0.955,2.55
2024-09-30,East Africa,Kenya,Battery Pack Gen2,John Mwangi,Tender,Public Transport,5,45000,0.06,211500.0,0.942,0.985,15.55
2024-10-01,West Africa,Ghana,E-Bus 45,Lerato Moyo,Partner,Public Transport,1,280000,0.001,279720.0,0.919,0.942,2.64
2024-10-01,Southern Africa,Zimbabwe,Depot Charger 60kW,Fatou Ndiaye,Direct,Public Transport,1,25000,0.067,23325.0,0.934,0.99,2.27
2024-10-01,North Africa,Tunisia,Depot Charger 60kW,John Mwangi,Direct,Public Transport,1,25000,0.063,23425.0,0.897,0.887,2.84
2024-10-01,Southern Africa,Zambia,E-Bus 25,Yao Kouamé,Direct,Shuttle Services,1,155000,0.0,155000.0,0.954,0.879,1.56
2024-10-01,Southern Africa,Zambia,E-Bus 25,Peter Otieno,Partner,Public Transport,1,155000,0.128,135160.0,0.94,0.908,3.76
2024-10-01,East Africa,Kenya,Battery Pack Gen2,Awa Diallo,Direct,Private Fleet,1,45000,0.018,44190.0,0.938,0.915,1.97
2024-10-01,North Africa,Egypt,Depot Charger 60kW,Peter Otieno,Direct,Public Transport,1,25000,0.032,24200.0,0.935,0.913,2.65
2024-10-02,East Africa,Tanzania,Depot Charger 60kW,John Mwangi,Partner,Public Transport,2,25000,0.074,46300.0,0.943,0.968,6.46
2024-10-02,East Africa,Kenya,Battery Pack Gen2,Yao Kouamé,Partner,Private Fleet,3,45000,0.062,126630.0,0.973,0.875,9.43
2024-10-02,Southern Africa,South Africa,E-Bus 25,John Mwangi,Direct,Private Fleet,1,155000,0.069,144305.0,0.939,0.928,1.7
2024-10-02,North Africa,Morocco,Depot Charger 60kW,Peter Otieno,Direct,Public Transport,1,25000,0.091,22725.0,0.958,0.951,3.27
2024-10-02,North Africa,Morocco,E-Bus 35,Awa Diallo,Direct,Shuttle Services,2,210000,0.049,399420.0,0.918,0.875,4.05
2024-10-02,North Africa,Tunisia,E-Bus 25,Yao Kouamé,Tender,Public Transport,1,155000,0.029,150505.0,0.944,0.956,3.62
2024-10-02,Southern Africa,Zambia,E-Bus 25,Lerato Moyo,Direct,Shuttle Services,1,155000,0.052,146940.0,0.919,0.967,1.86
2024-10-02,North Africa,Egypt,E-Bus 25,Yao Kouamé,Partner,Private Fleet,1,155000,0.038,149110.0,0.947,0.949,1.64
2024-10-03,West Africa,Ghana,E-Bus 45,John Mwangi,Direct,Private Fleet,1,280000,0.059,263480.0,0.947,0.92,3.22
2024-10-03,North Africa,Egypt,E-Bus 35,Awa Diallo,Direct,Public Transport,1,210000,0.083,192570.0,0.931,0.972,3.27
2024-10-03,East Africa,Uganda,E-Bus 35,Fatou Ndiaye,Direct,Private Fleet,1,210000,0.011,207690.0,0.933,0.878,2.46
2024-10-04,North Africa,Tunisia,E-Bus 25,John Mwangi,Tender,Public Transport,1,155000,0.073,143685.0,0.945,0.924,3.63
2024-10-04,West Africa,Senegal,Battery Pack Gen2,Peter Otieno,Partner,Shuttle Services,1,45000,0.032,43560.0,0.923,0.917,3.8
2024-10-04,West Africa,Senegal,E-Bus 25,Awa Diallo,Tender,Public Transport,5,155000,0.105,693625.0,0.899,0.916,10.48
2024-10-05,Southern Africa,South Africa,E-Bus 35,John Mwangi,Direct,Shuttle Services,1,210000,0.022,205380.0,0.932,0.893,2.43
2024-10-05,East Africa,Tanzania,Depot Charger 60kW,John Mwangi,Tender,Shuttle Services,1,25000,0.047,23825.0,0.92,0.871,2.49
2024-10-05,Southern Africa,Zimbabwe,Battery Pack Gen2,Peter Otieno,Direct,Public Transport,1,45000,0.038,43290.0,0.917,0.926,3.86
2024-10-05,East Africa,Tanzania,Battery Pack Gen2,Fatou Ndiaye,Direct,Public Transport,1,45000,0.062,42210.0,0.963,0.867,1.57
2024-10-05,West Africa,Côte d'Ivoire,E-Bus 25,Lerato Moyo,Direct,Private Fleet,2,155000,0.041,297290.0,0.995,0.855,5.64
2024-10-05,Southern Africa,Zimbabwe,Depot Charger 60kW,Awa Diallo,Direct,Private Fleet,1,25000,0.048,23800.0,0.948,0.896,3.17
2024-10-05,North Africa,Egypt,Depot Charger 60kW,Yao Kouamé,Partner,Public Transport,2,25000,0.035,48250.0,0.969,0.897,4.33
